userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
Ema Maesarohmaesaroh,3,2024-09-28 20:50:22,Aku,28,9,2024,20,50,22
Far Adityak3,3,2024-09-28 20:31:16,Bagus buat nonton bokep,28,9,2024,20,31,16
SYAFRIMAN MANDAI,3,2024-09-28 20:08:10,Telegram mohn di bantu akun saya ke blokir,28,9,2024,20,8,10
Jauhari tajau,1,2024-09-28 20:06:12,gak bisa log in daru kemarin...pdhl nomer hpnya sudah benar,28,9,2024,20,6,12
Perhat Pratama,1,2024-09-28 20:02:14,Code login error,28,9,2024,20,2,14
Muhammad Rafi,1,2024-09-28 19:55:51,Can't log in or register on Telegram.Waiting for the verification code which is difficult or maybe can't be obtained.Tried many times and the results are the same.Even though I need to do an assignment. Thank You.,28,9,2024,19,55,51
asyifa putri rana dani,3,2024-09-28 19:47:53,yuhuu,28,9,2024,19,47,53
ASUKAアスカ,1,2024-09-28 19:21:45,LOGINNYA SUSAH BANGET 😡🤬,28,9,2024,19,21,45
Ahmad Zamzami,3,2024-09-28 19:16:50,Oke,28,9,2024,19,16,50
asayorihs Ken,1,2024-09-28 19:14:25,"Apk nguaworr, ga bisa login",28,9,2024,19,14,25
