userName,score,at,content,Day,Month,Year,Hour,Minute,Sec
deri gilang s,3,2024-09-29 04:55:02,"tolong lah buat pihak telegram, saya pengguna lama cuman tidak pernah top up, begitu saya beli star, di e-money sudah terkirim saldonha sudab berkudang, tapi bacaan di telegram nya malah gada jaringan, terus star nya ga masuk, malasah saldo e-money nya saja yang hilang, mohon bantuannya, terimakasih",29,9,2024,4,55,2
Nilna Nura Millah,1,2024-09-29 04:50:21,susah login,29,9,2024,4,50,21
Fajri M,1,2024-09-29 04:47:18,ini gmnaa sii saya tungguin seharian kok kode nya ngga muncul² telegram sekarang bobrok,29,9,2024,4,47,18
Nauffal Abyan,1,2024-09-29 04:41:48,Code verifikasi tidak terkirim kirim aneh,29,9,2024,4,41,48
Edy Siswoyo,3,2024-09-29 04:39:38,Telegram luar biasa,29,9,2024,4,39,38
Szann KFB,1,2024-09-29 04:35:47,Login susah,29,9,2024,4,35,47
Ci Gun,1,2024-09-29 04:35:38,Sebelum saya mendapatkan kode verifikasi tidak akan saya merubah bintang nya,29,9,2024,4,35,38
Darwis Darwis,1,2024-09-29 04:34:17,"Apa apaan dah, udah di kirim no telepon baru masih aja kode verifikasinya gk adaa",29,9,2024,4,34,17
Yasipa Abdullah,1,2024-09-29 04:32:31,Parah bangeeet susah log in,29,9,2024,4,32,31
Agung Bayu Permana,1,2024-09-29 04:26:01,"Woy kga bisa masuk pas kode otp kga dikirim2, kocak bug dari lama kga dibenerin2",29,9,2024,4,26,1
Irna Wati,1,2024-09-29 04:24:02,apk nya gk jelas padahl gw dH masukin nomor lama bangt kode nya jangan di pke dh apk jdi gw kasih bita satu apk nya gj,29,9,2024,4,24,2
Ali Muamar Ahmadi,2,2024-09-29 04:21:53,Saya kesulitan login dengan akun saya,29,9,2024,4,21,53
Ayu Sagita,3,2024-09-29 04:20:07,Ok aj,29,9,2024,4,20,7
Tyas distyana,1,2024-09-29 03:55:23,gabisa log in! ga dapet kode verifikasi!,29,9,2024,3,55,23
Anita Dwi yulianti,2,2024-09-29 03:51:37,Hallo telegram saya download aplikasi telegram tetapi tidak bisa masuk karena terlalu banyak mencoba sepertinya itu sampai kapan ya sudah hampir 1 bulan tidak bisa log in saya kirim email ke telegram tapi tidak di jawab bagaimana ya,29,9,2024,3,51,37
Nayla Saqie,1,2024-09-29 03:45:45,suka ngelag anjay,29,9,2024,3,45,45
Sri Handayani,3,2024-09-29 03:42:18,Yapss bgs,29,9,2024,3,42,18
